dt,close
2/23/18,926.04
2/22/18,926.77
2/21/18,929.44
2/20/18,933.04
2/16/18,934.30
2/15/18,936.11
2/14/18,930.85
2/13/18,931.14
2/12/18,930.48
2/9/18,932.21
2/8/18,933.78
2/7/18,940.14
2/6/18,940.52
2/5/18,937.44
2/2/18,1050.47
2/1/18,973.70
1/31/18,976.74
1/30/18,976.45
1/29/18,978.25
1/26/18,978.50
1/25/18,967.93
1/24/18,967.71
1/23/18,968.38
1/22/18,973.71
1/19/18,977.43
1/18/18,1092.08
1/17/18,1093.57
1/16/18,1094.41
1/12/18,1094.41
1/11/18,1094.71
1/10/18,1096.99
1/9/18,997.60
1/8/18,999.57
1/5/18,996.47
1/4/18,1047.57
1/3/18,1046.18
1/2/18,1046.11
12/29/17,1046.24
12/28/17,1045.72
12/27/17,1045.00
12/26/17,1021.43
12/21/17,1021.91
12/20/17,1021.53
12/19/17,1019.85
12/18/17,1019.11
12/15/17,1016.68
12/14/17,1017.41
12/13/17,1014.09
12/12/17,1014.09
12/11/17,1013.35
12/8/17,1017.10
12/7/17,1018.42
12/6/17,1047.89
12/5/17,1052.72
12/4/17,1055.25
12/1/17,1055.10
11/30/17,1055.31
11/29/17,1060.17
11/28/17,1061.55
11/27/17,1060.99
11/24/17,1063.08
11/22/17,1063.83
11/21/17,1063.33
11/20/17,1063.59
11/17/17,1062.69
11/16/17,1061.63
11/15/17,1058.31
11/14/17,1055.60
11/13/17,995.66
11/10/17,994.35
11/9/17,994.57
11/8/17,992.55
11/7/17,995.76
11/6/17,944.32
11/3/17,942.79
11/2/17,941.30
11/1/17,941.30
10/31/17,941.41
10/30/17,942.80
10/27/17,941.52
10/26/17,940.55
10/25/17,933.32
10/24/17,897.24
10/23/17,896.55
10/20/17,896.66
10/19/17,898.70
10/18/17,898.91
10/17/17,900.40
10/16/17,904.15
10/13/17,904.83
10/12/17,904.55
10/11/17,904.20
10/10/17,904.75
10/9/17,898.19
10/6/17,896.82
10/5/17,898.90
10/4/17,892.18
10/3/17,892.18
10/2/17,896.27
9/29/17,895.19
9/28/17,898.42
9/27/17,899.68
9/26/17,899.35
9/25/17,897.63
9/22/17,897.63
9/21/17,898.47
9/20/17,901.50
9/19/17,902.16
9/18/17,899.12
9/15/17,901.07
9/14/17,902.76
9/13/17,902.47
9/12/17,903.60
9/11/17,817.12
9/8/17,819.68
9/7/17,820.06
9/6/17,820.91
9/5/17,815.72
9/1/17,815.78
8/31/17,817.89
8/30/17,817.61
8/29/17,818.57
8/28/17,819.74
8/24/17,821.59
8/23/17,821.43
8/22/17,886.15
8/21/17,885.08
8/17/17,890.64
8/16/17,893.40
8/15/17,887.13
8/14/17,887.13
8/11/17,887.42
8/10/17,887.91
8/9/17,887.69
8/8/17,885.85
8/7/17,883.36
8/4/17,881.38
8/3/17,880.55
8/2/17,880.96
8/1/17,879.43
7/31/17,882.02
7/28/17,881.34
7/27/17,880.59
7/26/17,880.21
7/25/17,896.31
7/24/17,893.37
7/21/17,897.92
7/20/17,896.99
7/19/17,892.44
7/18/17,890.23
7/17/17,891.60
7/14/17,891.43
7/13/17,895.15
7/12/17,890.73
7/11/17,887.32
7/10/17,885.70
7/7/17,886.15
7/6/17,888.03
7/5/17,888.16
7/3/17,888.39
6/30/17,878.61
6/29/17,879.50
6/28/17,878.19
6/27/17,878.15
6/26/17,878.09
6/23/17,878.09
6/22/17,881.30
6/21/17,885.33
6/20/17,884.76
6/19/17,886.09
6/16/17,885.09
6/15/17,881.90
6/14/17,881.78
6/13/17,881.31
6/12/17,879.55
6/9/17,881.74
6/8/17,882.15
6/7/17,880.86
6/6/17,881.32
6/5/17,852.28
6/2/17,852.71
6/1/17,852.70
5/31/17,849.23
5/30/17,849.26
5/26/17,848.43
5/25/17,844.81
5/23/17,845.04
5/22/17,843.76
5/19/17,843.72
5/18/17,842.45
5/17/17,844.99
5/16/17,845.04
5/15/17,844.17
5/12/17,844.22
5/11/17,843.44
5/10/17,843.35
5/9/17,841.74
5/8/17,842.49
5/5/17,841.09
5/4/17,841.09
5/3/17,840.42
5/2/17,847.53
5/1/17,850.26
4/28/17,852.77
4/27/17,851.01
4/26/17,850.54
4/25/17,852.03
4/24/17,846.26
4/21/17,825.38
4/20/17,827.93
4/19/17,830.74
4/18/17,832.11
4/17/17,830.51
4/13/17,830.54
4/12/17,828.74
4/11/17,835.50
4/10/17,837.20
4/7/17,832.87
4/6/17,832.55
4/5/17,835.03
4/4/17,835.03
4/3/17,823.44
3/31/17,830.65
3/30/17,829.80
3/29/17,829.59
3/28/17,832.89
3/27/17,831.36
3/24/17,830.35
3/23/17,833.89
3/22/17,830.90
3/21/17,829.62
3/20/17,826.93
3/17/17,834.75
3/16/17,833.37
3/15/17,854.91
3/14/17,854.58
3/13/17,859.43
3/10/17,829.95
3/9/17,827.85
3/8/17,819.54
3/7/17,820.47
3/6/17,820.47
3/3/17,811.17
3/2/17,779.22
3/1/17,778.47
2/28/17,775.90
2/27/17,772.54
2/24/17,770.96